PICO_IDX,Paper_IDX,Ref,PMID
a2,40,"Fan L, Inker LA, Rossert J, et al. Glomerular filtration rate estimation using cystatin C alone or combined with creatinine as a confirmatory test. Nephrology, dialysis, transplantation : official publication of the European Dialysis and Transplant Association - European Renal Association 2014; 29: 1195-1203.",24449101 
a2,41,"Fu EL, Levey ES, Coresh J, et al. Accuracy of estimated glomerular filtration rate equations in patients with discordances between creatinine and cystatin C-based estimations.",36995139 
a2,42,Medina Arnaudo GI. [Evaluation of equations using cystatin C for estimation of the glomerular filtration rate in healthy adult population of candidates for kidney donors.]. Rev Fac Cien Med Univ Nac Cordoba 2018; 74: 243-250.,29890099 
a2,43,"Schaeffner ES, Ebert N, Delanaye P, et al. Two novel equations to estimate kidney function in persons aged 70 years or older. Ann Intern Med 2012; 157: 471-481.",23027318 
b1,61,Impact of diabetes on the effects of sodium glucose co-transporter-2 inhibitors on kidney outcomes: collaborative meta-analysis of large placebo-controlled trials. Lancet 2022; 400: 1788-1801.,36351458 
b1,62,Kidney Disease: Improving Global Outcomes Diabetes Work Group. KDIGO 2022 Clinical Practice Guideline for Diabetes Management in Chronic Kidney Disease. Kidney Int 2022; 102: S1-s127.,36272764 
b1,63,"Cherney DZI, Dekkers CCJ, Barbour SJ, et al. Effects of the SGLT2 inhibitor dapagliflozin on proteinuria in non-diabetic patients with chronic kidney disease (DIAMOND): a randomised, double-blind, crossover trial. The Lancet Diabetes & Endocrinology 2020; 8: 582-593.",32559474 
b1,64,"Jhund PS, Ponikowski P, Docherty KF, et al. Dapagliflozin and Recurrent Heart Failure Hospitalizations in Heart Failure With Reduced Ejection Fraction: An Analysis of DAPA-HF. Circulation 2021; 143: 1962-1972.",33832352 
b1,65,"Zannad F, Ferreira JP, Pocock SJ, et al. Cardiac and Kidney Benefits of Empagliflozin in Heart Failure Across the Spectrum of Kidney Function: Insights From EMPEROR-Reduced. Circulation 2021; 143: 310-321.",33095032 
b1,66,"Herrington WG, Staplin N, Wanner C, et al. Empagliflozin in Patients with Chronic Kidney Disease. The New England Journal of Medicine 2022.",36331190 
b1,67,"Bhatt DL, Szarek M, Pitt B, et al. Sotagliflozin in Patients with Diabetes and Chronic Kidney Disease. The New England Journal of Medicine 2021; 384: 129-139.",24449101 
b1,68,"Wanner C, Lachin JM, Inzucchi SE, et al. Empagliflozin and Clinical Outcomes in Patients With Type 2 Diabetes Mellitus, Established Cardiovascular Disease, and Chronic Kidney Disease. Circulation 2018; 137: 119-129.",28904068 
b2,69,"Gunawardhana L, Becker MA, Whelton A, et al. Efficacy and safety of febuxostat extended release and immediate release in patients with gout and moderate renal impairment: phase II placebo-controlled study. Arthritis research & therapy 2018; 20: 99.",29848361 
b2,70,"Saag KG, Whelton A, Becker MA, et al. Impact of Febuxostat on Renal Function in Gout Patients With Moderate-to-Severe Renal Impairment. Arthritis and Rheumatology 2016; 68: 2035-2043.",26894653 
b2,71,"Tanaka K, Nakayama M, Kanno M, et al. Renoprotective effects of febuxostat in hyperuricemic patients with chronic kidney disease: a parallel-group, randomized, controlled trial. Clinical and experimental nephrology 2015; 19: 1044‐1053.",25676011 
b2,72,"Wada T, Hosoya T, Honda D, et al. Uric acid-lowering and renoprotective effects of topiroxostat, a selective xanthine oxidoreductase inhibitor, in patients with diabetic nephropathy and hyperuricemia: a randomized, double-blind, placebo-controlled, parallel-group study (UPWARD study). Clinical and Experimental Nephrology 2018; 22: 860-870.",29372470 
b3,73,"Badve SV, Pascoe EM, Tiku A, et al. Effects of Allopurinol on the Progression of Chronic Kidney Disease. The New England journal of medicine 2020; 382: 2504-2513.",32579811 
b3,74,"Doria A, Galecki A, Spino C, et al. Serum Urate Lowering with Allopurinol and Kidney Function in Type 1 Diabetes. New England journal of medicine 2020; 382: 2493‐2503.",32579810 
b3,75,"Goicoechea M, Garcia de Vinuesa S, Verdalles U, et al. Allopurinol and progression of CKD and cardiovascular events: long-term follow-up of a randomized clinical trial. Am J Kidney Dis 2015; 65: 543-549.",25595565 
b3,76,"Sircar D, Chatterjee S, Waikhom R, et al. Efficacy of Febuxostat for Slowing the GFR Decline in Patients With CKD and Asymptomatic Hyperuricemia: A 6-Month, Double-Blind, Randomized, Placebo-Controlled Trial. Am J Kidney Dis 2015; 66: 945-950.",26233732 
b3,77,"Siu YP, Leung KT, Tong MK, et al. Use of allopurinol in slowing the progression of renal disease through its ability to lower serum uric acid level. Am J Kidney Dis 2006; 47: 51-59.",16377385 
b3,78,"Yang H, Li R, Li Q, et al. Effects of febuxostat on delaying chronic kidney disease progression: a randomized trial in China. International urology and nephrology 2023; 55: 1343-1352.",36534221 
b3,79,"Jalal DI, Decker E, Perrenoud L, et al. Vascular function and uric acid-lowering in stage 3 CKD. Journal of the American Society of Nephrology 2017; 28: 943-952.",27620990 
b3,80,"Kao MP, Ang DS, Gandy SJ, et al. Allopurinol benefits left ventricular mass and endothelial dysfunction in chronic kidney disease. J Am Soc Nephrol 2011; 22: 1382-1389.",21719783 
b3,81,"Kimura K, Hosoya T, Uchida S, et al. Febuxostat Therapy for Patients With Stage 3 CKD and Asymptomatic Hyperuricemia: A Randomized Trial. American journal of kidney diseases : the official journal of the National Kidney Foundation 2018; 72: 798-810.",30177485 
b3,82,"Wen H, Yongling Z, Shuying Z, et al. Effect of febuxostat on renal function in patients from South China with CKD3 diabetic nephropathy. Jornal Brasileiro de Nefrologia 2020; 42: 393399.",32701116 
b3,83,"Beddhu S, Filipowicz R, Wang B, et al. A Randomized Controlled Trial of the Effects of Febuxostat Therapy on Adipokines and Markers of Kidney Fibrosis in Asymptomatic Hyperuricemic Patients With Diabetic Nephropathy. Canadian journal of kidney health and disease 2016; 3: 2054358116675343.",28270924 
b4,98,"Wolfe R, Wetmore JB, Woods RL, et al. Subgroup analysis of the ASPirin in Reducing Events in the Elderly randomized clinical trial suggests aspirin did not improve outcomes in older adults with chronic kidney disease. Kidney Int 2021; 99: 466-474.",32920022 
b4,99,"Jardine MJ, Ninomiya T, Perkovic V, et al. Aspirin is beneficial in hypertensive patients with chronic kidney disease: a post-hoc subgroup analysis of a randomized controlled trial. J Am Coll Cardiol 2010; 56: 956-965.",20828648 
b4,100,"Goicoechea M, de Vinuesa SG, Quiroga B, et al. Aspirin for Primary Prevention of Cardiovascular Disease and Renal Disease Progression in Chronic Kidney Disease Patients: a Multicenter Randomized Clinical Trial (AASER Study). Cardiovasc Drugs Ther 2018; 32: 255-263.",29943364 
b4,101,"Mann JFE, Joseph P, Gao P, et al. Effects of aspirin on cardiovascular outcomes in patients with chronic kidney disease. Kidney Int 2023; 103: 403-410.",36341885 
b4,102,"Saito Y, Morimoto T, Ogawa H, et al. Low-dose aspirin therapy in patients with type 2 diabetes and reduced glomerular filtration rate: subanalysis from the JPAD trial. Diabetes Care 2011; 34: 280-285.",21270185 
b5,84,"Sedlis SP, Jurkovitz CT, Hartigan PM, et al. Optimal medical therapy with or without percutaneous coronary intervention for patients with stable coronary artery disease and chronic kidney disease. Am J Cardiol 2009; 104: 1647-1653.",19962469 
b5,85,"Hastings RS, Hochman JS, Dzavik V, et al. Effect of late revascularization of a totally occluded coronary artery after myocardial infarction on mortality rates in patients with renal impairment. Am J Cardiol 2012; 110: 954-960.",22728005 
b5,86,"Lopes NH, da Silva Paulitsch F, Pereira A, et al. Mild chronic kidney dysfunction and treatment strategies for stable coronary artery disease. J Thorac Cardiovasc Surg 2009; 137: 1443-1449.",19464462 
b5,87,"Charytan DM, Wallentin L, Lagerqvist B, et al. Early angiography in patients with chronic kidney disease: a collaborative systematic review. Clinical journal of the American Society of Nephrology : CJASN 2009; 4: 1032-1043.",19423566 
b5,88,"Johnston N, Jernberg T, Lagerqvist B, et al. Early invasive treatment benefits patients with renal dysfunction in unstable coronary artery disease. Am Heart J 2006; 152: 1052-1058.",17161052 
b6,90,"Bohula E, Giugliano R, Ruff C, et al. Impact of Renal Function on Outcomes With Edoxaban in the ENGAGE AF-TIMI 48 Trial. Circulation 2016; 134: 24‐36.",27358434 
b6,91,"Chashkina MI, Andreev DA, Kozlovskaya NL, et al. [Safety performance of rivaroxaban versus warfarin in patients with atrial fibrillation and advanced chronic kidney disease]. Kardiologiia 2020; 60: 1322.",33487155 
b6,92,"Fox KA, Piccini JP, Wojdyla D, et al. Prevention of stroke and systemic embolism with rivaroxaban compared with warfarin in patients with non-valvular atrial fibrillation and moderate renal impairment. Eur Heart J 2011; 32: 2387-2394.",21873708 
b6,93,"Hori M, Matsumoto M, Tanahashi N, et al. Safety and efficacy of adjusted dose of rivaroxaban in Japanese patients with non-valvular atrial fibrillation: subanalysis of J-ROCKET AF for patients with moderate renal impairment. Circ J 2013; 77: 632-638.",23229461 
b6,94,"Hijazi Z, Hohnloser SH, Oldgren J, et al. Efficacy and safety of dabigatran compared with warfarin in patients with atrial fibrillation in relation to renal function over time—A RE-LY trial analysis. American Heart Journal 2018; 198: 169-177.",29653640 
b6,95,"Stanifer J, Pokorney S, Chertow G, et al. Apixaban Versus Warfarin in Patients With Atrial Fibrillation and Advanced Chronic Kidney Disease. Circulation 2020; 141: 1384‐1392.",32160801 
b7,90,"Bohula E, Giugliano R, Ruff C, et al. Impact of Renal Function on Outcomes With Edoxaban in the ENGAGE AF-TIMI 48 Trial. Circulation 2016; 134: 24‐36.",27358434 
b7,91,"Chashkina MI, Andreev DA, Kozlovskaya NL, et al. [Safety performance of rivaroxaban versus warfarin in patients with atrial fibrillation and advanced chronic kidney disease]. Kardiologiia 2020; 60: 1322.",33487155 
b7,92,"Fox KA, Piccini JP, Wojdyla D, et al. Prevention of stroke and systemic embolism with rivaroxaban compared with warfarin in patients with non-valvular atrial fibrillation and moderate renal impairment. Eur Heart J 2011; 32: 2387-2394.",21873708 
b7,93,"Hori M, Matsumoto M, Tanahashi N, et al. Safety and efficacy of adjusted dose of rivaroxaban in Japanese patients with non-valvular atrial fibrillation: subanalysis of J-ROCKET AF for patients with moderate renal impairment. Circ J 2013; 77: 632-638.",23229461 
b7,94,"Hijazi Z, Hohnloser SH, Oldgren J, et al. Efficacy and safety of dabigatran compared with warfarin in patients with atrial fibrillation in relation to renal function over time—A RE-LY trial analysis. American Heart Journal 2018; 198: 169-177.",29653640 
b7,95,"Stanifer J, Pokorney S, Chertow G, et al. Apixaban Versus Warfarin in Patients With Atrial Fibrillation and Advanced Chronic Kidney Disease. Circulation 2020; 141: 1384‐1392.",32160801 
b7,96,"Hijazi Z, Alexander JH, Li Z, et al. Apixaban or Vitamin K Antagonists and Aspirin or Placebo According to Kidney Function in Patients With Atrial Fibrillation After Acute Coronary Syndrome or Percutaneous Coronary Intervention Insights From the AUGUSTUS Trial. Circulation 2021; 143: 1215-1223.",33461308 
