PICO_IDX,SUB_PICO_IDX,Date,Ref,PMID
21-23 55,21a,1946-2018,"1. Fleischmann R. Efficacy and safety of tofacitinib monotherapy, tofacitinib with methotrexate, and adalimumab with methotrexate in patients with rheumatoid arthritis (ORAL Strategy): a phase 3b/4, double-blind, head-to-head, randomised controlled trial. The Lancet. 2017;390(10093):457.",28629665
21-23 55,21a,1946-2018,"2. Kaneko Y AT, Tanaka Y, et al. Comparison of adding tocilizumab to methotrexate with switching to tocilizumab in patients with rheumatoid arthritis with inadequate response to methotrexate: 52-week results from a prospective, randomised, controlled study (SURPRISE study). BMJ. 2016;75:1917-23.",26733110
21-23 55,21a,1946-2018,"3. Dougados M. Clinical, radiographic and immunogenic effects after 1 year of tocilizumab-based treatment strategies in rheumatoid arthritis: the ACT-RAY study. Annals of the Rheumatic Diseases. 2014;73(5):803.",24473673
21-23 55,21a,1946-2018,"4. Combe B, Codreanu C, Fiocco U, Gaubitz M, Geusens PP, Kvien TK, et al. Efficacy, safety and patient-reported outcomes of combination etanercept and sulfasalazine versus etanercept alone in patients with rheumatoid arthritis: a double-blind randomised 2-year study. Annals of the Rheumatic Diseases. 2009;68(7):1146.",18794178
21-23 55,21a,1946-2018,5. Capell HA. Combination therapy with sulfasalazine and methotrexate is more effective than either drug alone in patients with rheumatoid arthritis with a suboptimal response to sulfasalazine: results from the double-blind placebo-controlled MASCOT study. Annals of the Rheumatic Diseases. 2007;66(2):235.,16926184
21-23 55,21a,1946-2018,"6. Maini RN, Taylor PC, Szechinski J, Pavelka K, Broll J, Balint G, et al. Double-blind randomized controlled clinical trial of the interleukin-6 receptor antagonist, tocilizumab, in European patients with rheumatoid arthritis who had an incomplete response to methotrexate.[Erratum appears in Arthritis Rheum. 2008 Mar;58(3):887]. Arthritis & Rheumatism. 2006;54(9):2817.",16947782
21-23 55,21a,1946-2018,7. van Riel PL. Efficacy and safety of combination etanercept and methotrexate versus etanercept alone in patients with rheumatoid arthritis with an inadequate response to methotrexate: The ADORE study. Annals of the Rheumatic Diseases. 2006;65(11):1478.,16464988
21-23 55,21a,1946-2018,"8. Dougados M, Emery P, Lemmel EM, Zerbini CA, Brin S, Riel PV. When a DMARD fails, should patients switch to sulfasalazine or add sulfasalazine to continuing leflunomide? Annals of the Rheumatic Diseases. 2005;64(1):44.",15271770
21-23 55,21a,1946-2018,9. Edwards JC. Efficacy of B-cell-targeted therapy with rituximab in patients with rheumatoid arthritis. New England Journal of Medicine. 2004;350(25):2572.,15201414
21-23 55,21a,1946-2018,10. van Riel PL. Patient-reported health outcomes in a trial of etanercept monotherapy versus combination therapy with etanercept and methotrexate for rheumatoid arthritis: The ADORE trial. Annals of the Rheumatic Diseases. 2008;67(8):1104.,17666447
21-23 55,21a,1946-2018,"11. Strand V, et al. Patient-reported outcomes for tofacitinib with and without methotrexate, or adalimumab with methotrexate, in rheumatoid arthritis: a phase IIIB/IV trial. RMD Open. 2019;5.",31673419
21-23 55,21a,1946-2018,"12. Breedveld FA, S.; Yin, M.; et. al. Rituximab Pharmacokinetics in Patients With Rheumatoid Arthritis: B-Cell Levels Do Not Correlate With Clinical Response. J Clin Pharmacol. 2007;47:1119-28.",17766699
21-23 55,21a,1946-2018,"13. Maini RN, Breedveld FC, Kalden JR, Smolen JS, Davis D, Macfarlane JD, et al. Therapeutic efficacy of multiple intravenous infusions of anti-tumor necrosis factor alpha monoclonal antibody combined with low-dose weekly methotrexate in rheumatoid arthritis. Arthritis & Rheumatism. 1998;41(9):1552.",9751087
